Date,Open,High,Low,Close,Adj Close,Volume
2016-11-28,221.160004,221.479996,220.360001,220.479996,207.078934,76572500
2016-11-29,220.520004,221.440002,220.169998,220.910004,207.482819,69886700
2016-11-30,221.630005,221.820007,220.309998,220.380005,206.985031,113291800
2016-12-01,220.729996,220.729996,219.149994,219.570007,206.224258,79040500
2016-12-02,219.669998,220.250000,219.259995,219.679993,206.327560,74840300
2016-12-05,220.649994,221.399994,220.419998,221.000000,207.567337,67837800
2016-12-06,221.220001,221.740005,220.660004,221.699997,208.224792,59877400
2016-12-07,221.520004,224.669998,221.380005,224.600006,210.948532,110738100
2016-12-08,224.570007,225.699997,224.259995,225.149994,211.465073,99714400
2016-12-09,225.410004,226.529999,225.369995,226.509995,212.742432,88005800
2016-12-12,226.399994,226.960007,225.759995,226.250000,212.498230,102016100
2016-12-13,227.020004,228.339996,227.000000,227.759995,213.916443,110477500
2016-12-14,227.410004,228.229996,225.369995,225.880005,212.150742,142501800
2016-12-15,226.160004,227.809998,225.889999,226.809998,213.024200,124972600
2016-12-16,226.009995,226.080002,224.669998,225.039993,212.607574,156420200
2016-12-19,225.250000,226.020004,225.080002,225.529999,213.070496,90341100
2016-12-20,226.149994,226.570007,225.880005,226.399994,213.892410,89838800
2016-12-21,226.250000,226.449997,225.770004,225.770004,213.297241,67909000
2016-12-22,225.600006,225.740005,224.919998,225.380005,212.928787,56219100
2016-12-23,225.429993,225.720001,225.210007,225.710007,213.240585,36697800
2016-12-27,226.020004,226.729996,226.000000,226.270004,213.769608,42672500
2016-12-28,226.570007,226.589996,224.270004,224.399994,212.002914,64095000
2016-12-29,224.479996,224.889999,223.839996,224.350006,211.955688,48696100
2016-12-30,224.729996,224.830002,222.729996,223.529999,211.181000,108998300
2017-01-03,225.039993,225.830002,223.880005,225.240005,212.796539,91366500
2017-01-04,225.619995,226.750000,225.610001,226.580002,214.062500,78744400
2017-01-05,226.270004,226.580002,225.479996,226.399994,213.892410,78379000
2017-01-06,226.529999,227.750000,225.899994,227.210007,214.657684,71559900
2017-01-09,226.910004,227.070007,226.419998,226.460007,213.949142,46939700
2017-01-10,226.479996,227.449997,226.009995,226.460007,213.949142,63771900
2017-01-11,226.360001,227.100006,225.589996,227.100006,214.553757,74650000
2017-01-12,226.500000,226.750000,224.960007,226.529999,214.015259,72113200
2017-01-13,226.729996,227.399994,226.690002,227.050003,214.506531,62717900
2017-01-17,226.309998,226.779999,225.800003,226.250000,213.750732,61240800
2017-01-18,226.539993,226.800003,225.899994,226.750000,214.223099,54793300
2017-01-19,226.839996,227.000000,225.410004,225.910004,213.429504,66608800
